author_id:ID(Author),name
author_1,Hui Wang
author_2,Anh Dang
author_3,Zihao Wu
author_4,Son Mac
author_5,Benedict du Boulay
author_6,Teresa Swist
author_7,Simon Buckingham Shum
author_8,Kalervo N. Gulson
author_9,Iria Estévez-Ayres
author_10,Patricia Callejo
author_11,Miguel Ángel Hombrados-Herrera
author_12,Carlos Alario-Hoyos
author_13,Carlos Delgado Kloos
author_14,Rujun Gao
author_15,Hillary E. Merzdorf
author_16,Saira Anwar
author_17,M. Cynthia Hipwell
author_18,Arun Srinivasa
author_19,Ummugul Bezirhan
author_20,Matthias von Davier
author_21,Kaśka Porayska-Pomsta
author_22,Ana Mouta
author_23,Ana María Pinto-Llorente
author_24,Eva María Torrecilla-Sánchez
author_25,Rebecka Weegar
author_26,Peter Idestam-Almquist
author_27,Wayne Holmes
author_28,Athina Georgara
author_29,Marc Santolini
author_30,Olga Kokshagina
author_31,Camila Justine Jacinta Haux
author_32,Desmé Jacobs
author_33,Gloria Biwott
author_34,Marcela Correa
author_35,Carles Sierra
author_36,Jose Luis Fernandez-Marquez
author_37,Juan A. Rodriguez-Aguilar
author_38,Chris Impey
author_39,Matthew Wenger
author_40,Nikhil Garuda
author_41,Shahriar Golchin
author_42,Sarah Stamer
author_43,Yiwen Lin
author_44,Nia Nixon
author_45,Evelyn Navarrete
author_46,Andreas Nehring
author_47,Sascha Schanze
author_48,Ralph Ewerth
author_49,Anett Hoppe
author_50,Duong Ngo
author_51,Andy Nguyen
author_52,Belle Dang
author_53,Ha Ngo
author_54,Christian Tarchi
author_55,Alessandra Zappoli
author_56,Lidia Casado Ledesma
author_57,Eva Wennås Brante
author_58,Radek Pelánek
author_59,Nesra Yannier
author_60,Scott E. Hudson
author_61,Henry Chang
author_62,Kenneth R. Koedinger
author_63,Marcell Nagy
author_64,Roland Molontay
author_65,Thiemo Wambsganss
author_66,Ivo Benke
author_67,Alexander Maedche
author_68,Kenneth Koedinger
author_69,Tanja Käser
author_70,René F. Kizilcec
author_71,Wesley Morris
author_72,Scott Crossley
author_73,Langdon Holmes
author_74,Chaohua Ou
author_75,Mihai Dascalu
author_76,Danielle McNamara
author_77,Joost C. F. de Winter
author_78,Jamiu Adekunle Idowu
author_79,Sebastian Gombert
author_80,Aron Fink
author_81,Tornike Giorgashvili
author_82,Ioana Jivet
author_83,Daniele Di Mitri
author_84,Jane Yau
author_85,Andreas Frey
author_86,Hendrik Drachsler
author_87,Halim Acosta
author_88,Seung Lee
author_89,Haesol Bae
author_90,Chen Feng
author_91,Jonathan Rowe
author_92,Krista Glazewski
author_93,Cindy Hmelo-Silver
author_94,Bradford Mott
author_95,James C. Lester
author_96,Michael J. Parker
author_97,Caitlin Anderson
author_98,Claire Stone
author_99,YeaRim Oh
author_100,Yugo Hayashi
author_101,Unggi Lee
author_102,Minji Jeon
author_103,Yunseo Lee
author_104,Gyuri Byun
author_105,Yoorim Son
author_106,Jaeyoon Shin
