finding_id:ID(EmpiricalFinding),direction,results_summary,measure,study_size:int,effect_size:float
finding_1,,"This study analyzed policies, guidelines, and resources from the top 100 U.S. universities regarding GenAI use. The majority of universities adopt an open but cautious approach, with 54.8% allowing instructors to decide on GenAI use in their courses. Primary concerns identified include ethical usage, accuracy, and data privacy. No universities completely banned GenAI tools.",,104,
finding_2,,"This is a commentary piece that does not present original empirical findings. The author argues that the academic AIED research community has long addressed pedagogy, cognition, and increasingly ethics and human rights, contrary to criticisms that conflate commercial AI in education applications with academic research.",,,
finding_3,Positive,"The Deliberative Democracy process facilitated a unique and structured co-production process that enabled diverse higher education stakeholders to integrate their situated knowledge through dialogue. Participants reported increased trust, commitment, and a sense of pride in co-producing ethical principles for AI-enabled educational technology, which subsequently informed a new university AI governance policy.","Semi-structured interviews assessing participant perceptions of the deliberative democracy process, engagement, trust, and satisfaction with co-produced principles",13,
finding_4,Negative,"The study found that ChatGPT 3.5 and Google Bard were unable to reliably provide accurate feedback on concurrent programming exercises. All experiments resulted in approximately 50% accuracy, with both tools showing high false positive rates when identifying synchronization errors such as deadlocks, race conditions, and starvation.","Accuracy, precision, recall, and F1-score comparing LLM-generated feedback against expert instructor ground-truth evaluations for detecting concurrency errors",52,
finding_5,Positive,"The systematic review synthesized 93 studies on text-based automated assessment systems in post-secondary education, identifying five main system types. Findings indicate that automatic grading systems were most common, and that these AI/NLP-based tools show promise for supporting assessment, feedback, and deeper learning, though most studies emphasized model performance metrics over direct learning impact.","Model performance metrics (accuracy, reliability, correlation with human scores), learning outcomes (pre-post test scores, recall)",93,
finding_6,Positive,"GPT-3 generated reading passages were evaluated by human expert judges and found to be comparable to original PIRLS passages in terms of adequacy, coherence, engagement, and readability for fourth graders. For some passages, the AI-generated content was rated as more adequate and engaging than the original human-written passages.","Human expert ratings on 4-point Likert scale assessing coherence, appropriateness for fourth graders, readability, engagement, and distraction",150,
finding_7,,"This is a commentary/manifesto paper that does not present empirical findings. It argues for the AIED community to take a more proactive role in responsible AI discussions, expand focus beyond mainstream education to include diverse learners, and engage with EdTech industry and policy.",,,
finding_8,Mixed,"This systematic literature review analyzed 107 papers on AI in education ethics from 2011-2022, finding that research interest has grown significantly since 2018, particularly after the COVID-19 pandemic. The review identified key ethical concerns including fairness, inclusion, autonomy, and agency, while noting significant gaps in addressing cultural differences, emotional monitoring, and capacity building for ethical AIED implementation.","Thematic analysis of published literature on AIED ethics across multiple dimensions including technologies, cultural considerations, emotion monitoring, capacity building, and regulatory frameworks",107,
finding_9,Positive,"The study found that combining machine learning-based clustering and automated scoring reduced the overall workload for grading short answer exams by 64% to 74% compared to fully manual grading. Clustering alone reduced grading time by 69%, and adding score suggestions further reduced time by 73%, while still allowing complete manual review of all classifier outputs to ensure fair grading.","Time spent on grading (seconds per answer), percentage of workload reduction, classifier accuracy",438,
finding_10,,,,,
finding_11,Positive,"AI-formed teams showed significantly higher relational well-being (Cohen's d = 0.55, p = 0.016) and social network growth (d = 0.47, p = 0.037) compared to randomly formed control groups. Participants in AI-formed teams reported feeling they could freely express themselves and showed significant improvement in activism and media creation skills.","Post-activity questionnaire measuring relational well-being, social network growth, team experience, and project skill development using Likert scales; video quality scores evaluated by committee",97,0.55
finding_12,Positive,"GPT-4 produced grades that were not statistically different from instructor grades when provided with both a model answer and a rubric. The LLM achieved an Intraclass Correlation Coefficient of 0.92, indicating excellent reliability that matched or exceeded peer grading reliability. LLM-generated rubrics performed comparably to instructor-provided rubrics for automated grading.","Grade agreement between LLM and instructor grades, Intraclass Correlation Coefficient (ICC), root mean square differences, Friedman test with post-hoc Conover's test",120,
