outcome_id:ID(Outcome),name
Cognitive - Critical Thinking/Metacognitive skills,Cognitive - Critical Thinking/Metacognitive skills
Cognitive - Reading and writing literacy,Cognitive - Reading and writing literacy
"Cognitive - speaking, listening, and language fluency","Cognitive - speaking, listening, and language fluency"
Cognitive - Mathematical numeracy,Cognitive - Mathematical numeracy
Cognitive - Scientific Reasoning,Cognitive - Scientific Reasoning
Behavioral - task and assignment efficiency,Behavioral - task and assignment efficiency
"Behavioral - study habits, concentration","Behavioral - study habits, concentration"
Behavioral - participation and social engagement,Behavioral - participation and social engagement
Behavioral - productivity,Behavioral - productivity
Affective - motivation,Affective - motivation
Affective - engagement,Affective - engagement
Affective - persistence,Affective - persistence
