:START_ID(Paper),:END_ID(Author),:TYPE
paper_1,author_1,WRITTEN_BY
paper_1,author_2,WRITTEN_BY
paper_1,author_3,WRITTEN_BY
paper_1,author_4,WRITTEN_BY
paper_2,author_5,WRITTEN_BY
paper_3,author_6,WRITTEN_BY
paper_3,author_7,WRITTEN_BY
paper_3,author_8,WRITTEN_BY
paper_4,author_9,WRITTEN_BY
paper_4,author_10,WRITTEN_BY
paper_4,author_11,WRITTEN_BY
paper_4,author_12,WRITTEN_BY
paper_4,author_13,WRITTEN_BY
paper_5,author_14,WRITTEN_BY
paper_5,author_15,WRITTEN_BY
paper_5,author_16,WRITTEN_BY
paper_5,author_17,WRITTEN_BY
paper_5,author_18,WRITTEN_BY
paper_6,author_19,WRITTEN_BY
paper_6,author_20,WRITTEN_BY
paper_7,author_21,WRITTEN_BY
paper_8,author_22,WRITTEN_BY
paper_8,author_23,WRITTEN_BY
paper_8,author_24,WRITTEN_BY
paper_9,author_25,WRITTEN_BY
paper_9,author_26,WRITTEN_BY
paper_10,author_27,WRITTEN_BY
paper_11,author_28,WRITTEN_BY
paper_11,author_29,WRITTEN_BY
paper_11,author_30,WRITTEN_BY
paper_11,author_31,WRITTEN_BY
paper_11,author_32,WRITTEN_BY
paper_11,author_33,WRITTEN_BY
paper_11,author_34,WRITTEN_BY
paper_11,author_35,WRITTEN_BY
paper_11,author_36,WRITTEN_BY
paper_11,author_37,WRITTEN_BY
paper_12,author_38,WRITTEN_BY
paper_12,author_39,WRITTEN_BY
paper_12,author_40,WRITTEN_BY
paper_12,author_41,WRITTEN_BY
paper_12,author_42,WRITTEN_BY
paper_13,author_43,WRITTEN_BY
paper_13,author_44,WRITTEN_BY
paper_14,author_45,WRITTEN_BY
paper_14,author_46,WRITTEN_BY
paper_14,author_47,WRITTEN_BY
paper_14,author_48,WRITTEN_BY
paper_14,author_49,WRITTEN_BY
paper_15,author_50,WRITTEN_BY
paper_15,author_51,WRITTEN_BY
paper_15,author_52,WRITTEN_BY
paper_15,author_53,WRITTEN_BY
paper_16,author_54,WRITTEN_BY
paper_16,author_55,WRITTEN_BY
paper_16,author_56,WRITTEN_BY
paper_16,author_57,WRITTEN_BY
paper_17,author_58,WRITTEN_BY
paper_18,author_59,WRITTEN_BY
paper_18,author_60,WRITTEN_BY
paper_18,author_61,WRITTEN_BY
paper_18,author_62,WRITTEN_BY
paper_19,author_63,WRITTEN_BY
paper_19,author_64,WRITTEN_BY
paper_20,author_65,WRITTEN_BY
paper_20,author_66,WRITTEN_BY
paper_20,author_67,WRITTEN_BY
paper_20,author_68,WRITTEN_BY
paper_20,author_69,WRITTEN_BY
paper_21,author_70,WRITTEN_BY
paper_22,author_71,WRITTEN_BY
paper_22,author_72,WRITTEN_BY
paper_22,author_73,WRITTEN_BY
paper_22,author_74,WRITTEN_BY
paper_22,author_75,WRITTEN_BY
paper_22,author_76,WRITTEN_BY
paper_23,author_77,WRITTEN_BY
paper_24,author_78,WRITTEN_BY
paper_25,author_79,WRITTEN_BY
paper_25,author_80,WRITTEN_BY
paper_25,author_81,WRITTEN_BY
paper_25,author_82,WRITTEN_BY
paper_25,author_83,WRITTEN_BY
paper_25,author_84,WRITTEN_BY
paper_25,author_85,WRITTEN_BY
paper_25,author_86,WRITTEN_BY
paper_26,author_87,WRITTEN_BY
paper_26,author_88,WRITTEN_BY
paper_26,author_89,WRITTEN_BY
paper_26,author_90,WRITTEN_BY
paper_26,author_91,WRITTEN_BY
paper_26,author_92,WRITTEN_BY
paper_26,author_93,WRITTEN_BY
paper_26,author_94,WRITTEN_BY
paper_26,author_95,WRITTEN_BY
paper_27,author_96,WRITTEN_BY
paper_27,author_97,WRITTEN_BY
paper_27,author_98,WRITTEN_BY
paper_27,author_99,WRITTEN_BY
paper_28,author_100,WRITTEN_BY
paper_29,author_101,WRITTEN_BY
paper_29,author_102,WRITTEN_BY
paper_29,author_103,WRITTEN_BY
paper_29,author_104,WRITTEN_BY
paper_29,author_105,WRITTEN_BY
paper_29,author_106,WRITTEN_BY
