:START_ID(Paper),:END_ID(EmpiricalFinding),:TYPE
paper_1,finding_1,REPORTS_FINDING
paper_2,finding_2,REPORTS_FINDING
paper_3,finding_3,REPORTS_FINDING
paper_4,finding_4,REPORTS_FINDING
paper_5,finding_5,REPORTS_FINDING
paper_6,finding_6,REPORTS_FINDING
paper_7,finding_7,REPORTS_FINDING
paper_8,finding_8,REPORTS_FINDING
paper_9,finding_9,REPORTS_FINDING
paper_10,finding_10,REPORTS_FINDING
paper_11,finding_11,REPORTS_FINDING
paper_12,finding_12,REPORTS_FINDING
paper_13,finding_13,REPORTS_FINDING
paper_14,finding_14,REPORTS_FINDING
paper_15,finding_15,REPORTS_FINDING
paper_16,finding_16,REPORTS_FINDING
paper_17,finding_17,REPORTS_FINDING
paper_18,finding_18,REPORTS_FINDING
paper_19,finding_19,REPORTS_FINDING
paper_20,finding_20,REPORTS_FINDING
paper_21,finding_21,REPORTS_FINDING
paper_22,finding_22,REPORTS_FINDING
paper_23,finding_23,REPORTS_FINDING
paper_24,finding_24,REPORTS_FINDING
paper_25,finding_25,REPORTS_FINDING
paper_26,finding_26,REPORTS_FINDING
paper_27,finding_27,REPORTS_FINDING
paper_28,finding_28,REPORTS_FINDING
paper_29,finding_29,REPORTS_FINDING
paper_30,finding_30,REPORTS_FINDING
paper_31,finding_31,REPORTS_FINDING
paper_32,finding_32,REPORTS_FINDING
paper_33,finding_33,REPORTS_FINDING
paper_34,finding_34,REPORTS_FINDING
paper_35,finding_35,REPORTS_FINDING
paper_36,finding_36,REPORTS_FINDING
paper_37,finding_37,REPORTS_FINDING
paper_38,finding_38,REPORTS_FINDING
paper_39,finding_39,REPORTS_FINDING
paper_40,finding_40,REPORTS_FINDING
paper_41,finding_41,REPORTS_FINDING
paper_42,finding_42,REPORTS_FINDING
paper_43,finding_43,REPORTS_FINDING
paper_44,finding_44,REPORTS_FINDING
paper_45,finding_45,REPORTS_FINDING
paper_46,finding_46,REPORTS_FINDING
paper_47,finding_47,REPORTS_FINDING
paper_48,finding_48,REPORTS_FINDING
paper_49,finding_49,REPORTS_FINDING
paper_50,finding_50,REPORTS_FINDING
paper_51,finding_51,REPORTS_FINDING
paper_52,finding_52,REPORTS_FINDING
paper_53,finding_53,REPORTS_FINDING
paper_54,finding_54,REPORTS_FINDING
paper_55,finding_55,REPORTS_FINDING
paper_56,finding_56,REPORTS_FINDING
paper_57,finding_57,REPORTS_FINDING
paper_58,finding_58,REPORTS_FINDING
paper_59,finding_59,REPORTS_FINDING
paper_60,finding_60,REPORTS_FINDING
paper_61,finding_61,REPORTS_FINDING
paper_62,finding_62,REPORTS_FINDING
paper_63,finding_63,REPORTS_FINDING
paper_64,finding_64,REPORTS_FINDING
paper_65,finding_65,REPORTS_FINDING
paper_66,finding_66,REPORTS_FINDING
paper_67,finding_67,REPORTS_FINDING
paper_68,finding_68,REPORTS_FINDING
