:START_ID(Paper),:END_ID(ImplementationObjective),:TYPE
paper_1,Institutional Decision-making,HAS_IMPLEMENTATION_OBJECTIVE
paper_2,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_3,Institutional Decision-making,HAS_IMPLEMENTATION_OBJECTIVE
paper_4,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_5,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_6,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_7,Institutional Decision-making,HAS_IMPLEMENTATION_OBJECTIVE
paper_8,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_9,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_11,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_12,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_13,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_14,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_15,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_16,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_17,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_18,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_19,Institutional Decision-making,HAS_IMPLEMENTATION_OBJECTIVE
paper_20,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_21,Institutional Decision-making,HAS_IMPLEMENTATION_OBJECTIVE
paper_22,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_23,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_24,Institutional Decision-making,HAS_IMPLEMENTATION_OBJECTIVE
paper_25,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_26,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_27,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_28,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_29,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_30,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_32,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_33,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_35,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_37,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_38,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_39,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_40,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_42,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_43,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_44,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_45,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_46,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_48,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_49,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_50,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_51,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_52,Institutional Decision-making,HAS_IMPLEMENTATION_OBJECTIVE
paper_53,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_54,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_55,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_56,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_58,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_60,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_61,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_63,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_64,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_66,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_67,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
paper_68,Intelligent Tutoring and Instruction,HAS_IMPLEMENTATION_OBJECTIVE
