paper_id:ID(Paper),title,year:int,venue
paper_1,"Generative AI in Higher Education: Seeing ChatGPT Through Universities' Policies, Resources, and Guidelines",2024,arXiv preprint
paper_2,"Pedagogy, Cognition, Human Rights, and Social Justice",2024,International Journal of Artificial Intelligence in Education
paper_3,Co-producing AIED Ethics Under Lockdown: an Empirical Study of Deliberative Democracy in Action,2024,International Journal of Artificial Intelligence in Education
paper_4,Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming,2025,International Journal of Artificial Intelligence in Education
paper_5,Automatic assessment of text-based responses in post-secondary education: A systematic review,,
paper_6,Automated Reading Passage Generation with OpenAI's Large Language Model,2023,
paper_7,A Manifesto for a Pro-Actively Responsible AI in Education,2024,International Journal of Artificial Intelligence in Education
paper_8,Uncovering Blind Spots in Education Ethics: Insights from a Systematic Literature Review on Artificial Intelligence in Education,2024,International Journal of Artificial Intelligence in Education
paper_9,Reducing Workload in Short Answer Grading Using Machine Learning,2024,International Journal of Artificial Intelligence in Education
paper_10,AIED—Coming of Age?,2024,International Journal of Artificial Intelligence in Education
paper_11,Optimising Team Dynamics: The Role of AI in Enhancing Challenge-Based Learning Participation Experience and Outcomes,2024,HAL Preprint
paper_12,Using Large Language Models for Automated Grading of Student Writing about Science,2024,
paper_13,Transitioning to Online Instructions and COVID-19 Response: A View from Mining Emergent College Students Discourse in Online Discussion Forum,2024,International Journal of Artificial Intelligence in Education
paper_14,"A Closer Look into Recent Video-based Learning Research: A Comprehensive Review of Video Characteristics, Tools, Technologies, and Learning Effectiveness",2023,arXiv
paper_15,Facial Expression Recognition for Examining Emotional Regulation in Synchronous Online Collaborative Learning,2024,International Journal of Artificial Intelligence in Education
paper_16,The Use of ChatGPT in Source-Based Writing Tasks,2025,International Journal of Artificial Intelligence in Education
paper_17,"Adaptive Learning is Hard: Challenges, Nuances, and Trade-offs in Modeling",2024,International Journal of Artificial Intelligence in Education
paper_18,AI Adaptivity in a Mixed-Reality System Improves Learning,2024,International Journal of Artificial Intelligence in Education
paper_19,Interpretable Dropout Prediction: Towards XAI-Based Personalized Intervention,2024,International Journal of Artificial Intelligence in Education
paper_20,Evaluating the Impact of Learner Control and Interactivity in Conversational Tutoring Systems for Persuasive Writing,2025,International Journal of Artificial Intelligence in Education
paper_21,"To Advance AI Use in Education, Focus on Understanding Educators",2024,International Journal of Artificial Intelligence in Education
paper_22,Formative Feedback on Student-Authored Summaries in Intelligent Textbooks Using Large Language Models,2025,International Journal of Artificial Intelligence in Education
paper_23,Can ChatGPT Pass High School Exams on English Language Comprehension?,2024,International Journal of Artificial Intelligence in Education
